,_id,clusterID,kWhDelivered,sessionID,siteID,spaceID,stationID,timezone,userID,ConnectionTime,DisconnectTime,DoneCharging
1064,5e571b9ff9af8b7a23b4d6dc,102,26.221,19_102_260_1640_2020-02-10 20:54:47.381201,19,8,19-102-260-1640,America/Los_Angeles,6140.0,2020-02-10 20:54:47+00:00,2020-02-11 04:45:26+00:00,2020-02-11 04:45:06+00:00
1065,5e586d1ef9af8b7ddcb15422,102,3.905,19_102_260_1633_2020-02-11 15:46:05.429283,19,2,19-102-260-1633,America/Los_Angeles,6062.0,2020-02-11 15:46:05+00:00,2020-02-11 20:30:21+00:00,2020-02-11 18:17:04+00:00
1066,5e586d1ef9af8b7ddcb15423,102,33.223,19_102_260_1638_2020-02-11 18:26:55.139967,19,4,19-102-260-1638,America/Los_Angeles,6171.0,2020-02-11 18:26:55+00:00,2020-02-12 01:45:51+00:00,2020-02-12 01:45:38+00:00
1067,5e59be9ff9af8b02eb78f15c,102,4.122,19_102_260_1633_2020-02-12 15:21:31.310707,19,2,19-102-260-1633,America/Los_Angeles,6062.0,2020-02-12 15:21:31+00:00,2020-02-13 02:36:50+00:00,2020-02-12 19:33:43+00:00
1068,5e59be9ff9af8b02eb78f15d,102,5.261,19_102_260_1640_2020-02-12 18:36:30.222576,19,8,19-102-260-1640,America/Los_Angeles,4400.0,2020-02-12 18:36:30+00:00,2020-02-12 20:40:06+00:00,2020-02-12 20:40:02+00:00
1069,5e59be9ff9af8b02eb78f15e,102,31.096,19_102_260_1639_2020-02-12 18:45:46.412456,19,5,19-102-260-1639,America/Los_Angeles,6171.0,2020-02-12 18:45:46+00:00,2020-02-13 01:38:22+00:00,2020-02-13 01:38:10+00:00
1070,5e59be9ff9af8b02eb78f15f,102,2.5860000000000003,19_102_260_1634_2020-02-12 19:41:57.878044,19,3,19-102-260-1634,America/Los_Angeles,6189.0,2020-02-12 19:41:58+00:00,2020-02-13 01:11:01+00:00,2020-02-13 01:10:57+00:00
1071,5e59be9ff9af8b02eb78f160,102,4.6047069444444455,19_102_260_1635_2020-02-12 22:28:58.542242,19,1,19-102-260-1635,America/Los_Angeles,6038.0,2020-02-12 22:28:59+00:00,2020-02-12 23:45:06+00:00,2020-02-12 23:44:53+00:00
1072,5e5b1020f9af8b06c373c5b4,102,13.114,19_102_260_1635_2020-02-13 14:54:52.609268,19,1,19-102-260-1635,America/Los_Angeles,6038.0,2020-02-13 14:54:53+00:00,2020-02-13 21:01:26+00:00,2020-02-13 17:00:58+00:00
1073,5e5b1020f9af8b06c373c5b5,102,40.008,19_102_260_1634_2020-02-13 15:35:56.604150,19,3,19-102-260-1634,America/Los_Angeles,3618.0,2020-02-13 15:35:57+00:00,2020-02-13 22:40:06+00:00,2020-02-13 21:55:38+00:00
1074,5e5b1020f9af8b06c373c5b6,102,29.998,19_102_260_1636_2020-02-13 19:24:29.063244,19,6,19-102-260-1636,America/Los_Angeles,6189.0,2020-02-13 19:24:29+00:00,2020-02-14 03:00:02+00:00,2020-02-14 02:59:53+00:00
1075,5e5c619ef9af8b0aad48d780,102,5.847,19_102_260_1633_2020-02-14 16:07:01.554826,19,2,19-102-260-1633,America/Los_Angeles,6062.0,2020-02-14 16:07:02+00:00,2020-02-15 03:04:52+00:00,2020-02-14 23:04:36+00:00
1076,5e5c619ef9af8b0aad48d781,102,26.823,19_102_260_1634_2020-02-14 19:26:56.955256,19,3,19-102-260-1634,America/Los_Angeles,6189.0,2020-02-14 19:26:57+00:00,2020-02-15 01:24:07+00:00,2020-02-15 01:24:02+00:00
1077,5e60561bf9af8b166a3d88be,102,25.355,19_102_260_1634_2020-02-17 19:34:32.134165,19,3,19-102-260-1634,America/Los_Angeles,6189.0,2020-02-17 19:34:32+00:00,2020-02-18 01:02:20+00:00,2020-02-18 01:02:16+00:00
1078,5e644a9ff9af8b245f54578a,102,3.64,19_102_260_1633_2020-02-19 15:27:55.233614,19,2,19-102-260-1633,America/Los_Angeles,6062.0,2020-02-19 15:27:55+00:00,2020-02-20 02:18:20+00:00,2020-02-19 16:56:19+00:00
1079,5e644a9ff9af8b245f54578b,102,36.484,19_102_260_1635_2020-02-19 17:50:22.932656,19,1,19-102-260-1635,America/Los_Angeles,3618.0,2020-02-19 17:50:23+00:00,2020-02-20 01:39:28+00:00,2020-02-20 01:39:23+00:00
1080,5e644a9ff9af8b245f54578c,102,26.843000000000004,19_102_260_1636_2020-02-19 19:27:32.593467,19,6,19-102-260-1636,America/Los_Angeles,6189.0,2020-02-19 19:27:33+00:00,2020-02-20 01:11:34+00:00,2020-02-20 01:11:30+00:00
1081,5e644aa4f9af8b245f54578d,102,5.722,19_102_260_1633_2020-02-20 15:33:49.530457,19,2,19-102-260-1633,America/Los_Angeles,6062.0,2020-02-20 15:33:50+00:00,2020-02-20 21:18:58+00:00,2020-02-20 17:45:50+00:00
1082,5e644aa4f9af8b245f54578e,102,30.149,19_102_260_1634_2020-02-20 17:08:26.027861,19,3,19-102-260-1634,America/Los_Angeles,6297.0,2020-02-20 17:08:26+00:00,2020-02-21 00:47:28+00:00,2020-02-20 22:26:42+00:00
1083,5e644aa4f9af8b245f54578f,102,25.01,19_102_260_1635_2020-02-20 18:07:39.617538,19,1,19-102-260-1635,America/Los_Angeles,3618.0,2020-02-20 18:07:40+00:00,2020-02-20 22:08:30+00:00,2020-02-20 22:08:22+00:00
1084,5e644aa4f9af8b245f545790,102,14.883,19_102_260_1636_2020-02-20 19:50:11.963353,19,6,19-102-260-1636,America/Los_Angeles,6189.0,2020-02-20 19:50:12+00:00,2020-02-21 02:03:11+00:00,2020-02-20 22:23:49+00:00
1085,5e658e0df9af8b2864b7eca9,102,5.79,19_102_260_1633_2020-02-21 16:00:33.137418,19,2,19-102-260-1633,America/Los_Angeles,6062.0,2020-02-21 16:00:33+00:00,2020-02-22 02:46:10+00:00,2020-02-21 18:14:12+00:00
1086,5e658e0df9af8b2864b7ecaa,102,12.436,19_102_260_1636_2020-02-21 19:52:13.916135,19,6,19-102-260-1636,America/Los_Angeles,6189.0,2020-02-21 19:52:14+00:00,2020-02-22 00:52:58+00:00,2020-02-21 21:57:44+00:00
1087,5e658e0df9af8b2864b7ecab,102,2.1390000000000002,19_102_260_1634_2020-02-21 21:09:05.719934,19,3,19-102-260-1634,America/Los_Angeles,3618.0,2020-02-21 21:09:06+00:00,2020-02-21 21:29:59+00:00,2020-02-21 21:29:50+00:00
1088,5e6c258ff9af8b3cc3deee0d,102,4.636,19_102_260_1633_2020-02-24 15:59:05.543097,19,2,19-102-260-1633,America/Los_Angeles,6062.0,2020-02-24 15:59:06+00:00,2020-02-25 02:46:37+00:00,2020-02-24 17:39:54+00:00
1089,5e6c258ff9af8b3cc3deee0e,102,5.502999999999999,19_102_260_1640_2020-02-24 17:01:30.904373,19,8,19-102-260-1640,America/Los_Angeles,4400.0,2020-02-24 17:01:31+00:00,2020-02-25 01:04:03+00:00,2020-02-24 19:30:28+00:00
1090,5e6c258ff9af8b3cc3deee0f,102,33.51,19_102_260_1639_2020-02-24 17:46:12.601264,19,5,19-102-260-1639,America/Los_Angeles,6171.0,2020-02-24 17:46:42+00:00,2020-02-25 02:26:09+00:00,2020-02-24 23:11:05+00:00
1091,5e6c258ff9af8b3cc3deee10,102,15.53,19_102_260_1634_2020-02-24 19:29:41.381861,19,3,19-102-260-1634,America/Los_Angeles,6189.0,2020-02-24 19:29:41+00:00,2020-02-25 00:16:27+00:00,2020-02-24 22:02:23+00:00
1092,5e6c2594f9af8b3cc3deee11,102,4.461,19_102_260_1633_2020-02-25 15:24:48.267755,19,2,19-102-260-1633,America/Los_Angeles,6062.0,2020-02-25 15:24:48+00:00,2020-02-26 02:12:31+00:00,2020-02-25 17:06:28+00:00
1093,5e6c2594f9af8b3cc3deee12,102,21.004,19_102_260_1635_2020-02-25 15:50:16.493012,19,1,19-102-260-1635,America/Los_Angeles,3618.0,2020-02-25 15:50:16+00:00,2020-02-25 21:54:47+00:00,2020-02-25 20:20:20+00:00
1094,5e6c2594f9af8b3cc3deee13,102,6.115,19_102_260_1640_2020-02-25 16:48:21.740872,19,8,19-102-260-1640,America/Los_Angeles,4400.0,2020-02-25 16:48:22+00:00,2020-02-26 00:52:48+00:00,2020-02-25 19:20:44+00:00
1095,5e6c2594f9af8b3cc3deee14,102,6.007000000000001,19_102_260_1634_2020-02-25 22:17:38.605617,19,3,19-102-260-1634,America/Los_Angeles,6297.0,2020-02-25 22:17:39+00:00,2020-02-26 00:24:01+00:00,2020-02-26 00:23:56+00:00
